row_num,bonn_id,transect_dist_id,transect_dist_m,replicate_num,depth_cm,d18o_value
1,58078a,1,1,1,10,19.33982198
2,58078a,1,1,2,10,18.60587094
3,58079a,1,1,1,30,17.2741839
4,58079a,1,1,2,30,16.1764868
5,58080a,1,1,1,50,16.99715726
6,58080a,1,1,2,50,16.7138672
7,58081a,1,1,1,100,17.16561734
8,58081a,1,1,2,100,17.23816535
9,58082,2,17,1,10,17.40142293
10,58082,2,17,2,10,17.0192381
11,58083,2,17,1,30,15.83638749
12,58083,2,17,2,30,14.66384243
13,58084,2,17,1,50,16.04346864
14,58084,2,17,2,50,16.09216331
15,58085,2,17,1,100,12.42094355
16,58085,2,17,2,100,14.07533108
17,58086,3,37,1,10,18.19331554
18,58086,3,37,2,10,18.02712664
19,58087,3,37,1,30,15.82853034
20,58087,3,37,2,30,15.77203422
21,58088,3,37,1,50,14.00023368
22,58088,3,37,2,50,14.96343588
23,58089,3,37,1,100,11.99191833
24,58089,3,37,2,100,12.77352308
25,58090,4,43,1,10,14.19420414
26,58090,4,43,2,10,14.6551568
27,58091,4,43,1,30,11.3662242
28,58091,4,43,2,30,11.1302624
29,58092,4,43,1,50,9.857463161
30,58092,4,43,2,50,10.45717126
31,58093,4,43,1,100,12.17514982
32,58093,4,43,2,100,11.89610776
33,58094,5,49,1,10,13.22803958
34,58094,5,49,2,10,14.11693646
35,58095,5,49,1,30,10.98039567
36,58095,5,49,2,30,11.40190108
37,58096,5,49,1,50,12.55854295
38,58096,5,49,2,50,12.49992894
39,58097,5,49,1,100,7.013141755
40,58097,5,49,2,100,7.470433234
41,58098,6,55,1,10,8.613555323
42,58098,6,55,2,10,8.435681688
43,58099,6,55,1,30,10.22173199
44,58099,6,55,2,30,9.728252218
45,58100,6,55,1,50,7.856554319
46,58100,6,55,2,50,7.339781558
47,58101,6,55,1,100,7.579172068
48,58101,6,55,2,100,6.43845562